"Representative","State","Amount"
"Franklin Scott (R-FL)","Florida","$5"
"Ghebreghiorgis Andom (D-NY)","New York","$5"
"Hill Katie (D-CA)","California","$5"
"Nehls Troy (R-TX)","Texas","$5"
"Ruiz Raul (D-CA)","California","$5"
"Schrier Kim (D-WA)","Washington","$5"
"Webster Daniel (R-FL)","Florida","$5"
"Welch Peter (D-VT)","Vermont","$5"
"Aguilar Pete (D-CA)","California","$4"
"Gallagher Mike (R-WI)","Wisconsin","$4"
"Lee Albert (D-OR)","Oregon","$4"
"Siegel Mike (D-TX)","Texas","$4"
"Watkins Steve (R-KS)","Kansas","$4"
"Clyburn James E (D-SC)","South Carolina","$3"
"Nuckolls Asher (D-GA)","Georgia","$3"
"Budd Ted (R-NC)","North Carolina","$2"
"Haywood Lee (R-NC)","North Carolina","$2"
"McHenry Patrick (R-NC)","North Carolina","$2"
"Murphy Greg (R-NC)","North Carolina","$2"
"Rouzer David (R-NC)","North Carolina","$2"
"Swain Alan (R-NC)","North Carolina","$2"
"Allred Colin (D-TX)","Texas","$1"
"Craig Angie (D-MN)","Minnesota","$1"
"Hayes Jahana (D-CT)","Connecticut","$1"
"Levin Mike (D-CA)","California","$1"
"Rouda Harley (D-CA)","California","$1"
"McClintock Tom (R-CA)","California","-$500"
"Long Billy (R-MO)","Missouri","-$1000"
"Loebsack David (D-IA)","Iowa","-$2000"
"Reed Dave (R-PA)","Pennsylvania","-$2700"
"King Troy (R-AL)","Alabama","-$5600"
"Ryan Paul (R-WI)","Wisconsin","-$7700"
