"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"R",0,0,NA,NA,27250,2650,24500,3043,NA,NA,NA,NA,"ME","P000611",2,1953,"NE",0.36,-0.182,1,0,0
"R",0,0,NA,NA,23200,3504,58709,5537,NA,NA,NA,NA,"MI","B001293",2,1967,"MW",0.451,0.095,1,0,0
"R",0,0,NA,NA,8500,0,0,0,NA,NA,NA,NA,"MI","T000475",2,1960,"MW",0.369,0.257,1,0,0
"R",0,0,NA,NA,28100,0,16928,0,NA,NA,NA,NA,"NJ","M001193",2,1960,"NE",0.206,0.274,1,0,0
"R",0,0,NA,NA,9000,0,39700,2000,NA,NA,NA,NA,"NY","D000625",2,1956,"NE",0.227,0.095,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NC",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,NA,NA,45750,0,41650,0,NA,NA,NA,NA,"OK","R000604",2,1963,"SO",0.473,-0.183,1,0,0
"R",1,1,NA,NA,36200,7000,14000,1000,NA,NA,NA,NA,"PA","C001106",2,1976,"NE",0.217,-0.055,0,1,0
"R",0,0,NA,NA,23500,0,10500,0,5000,0,NA,NA,"TX","R000601",2,1965,"SO",0.693,0.113,1,0,0
"R",0,0,NA,NA,130656,3033,151550,4950,119847,250,NA,NA,"TX","H001073",2,1977,"SO",0.287,0.228,1,0,0
"R",0,0,NA,NA,24465,0,29311,1095,NA,NA,NA,NA,"UT","L000584",2,1975,"WE",0.542,-0.056,1,0,0
"R",0,0,0,0,9875,1250,12500,2000,NA,NA,NA,NA,"VA","B001290",3,1964,"SO",0.829,-0.325,1,0,0
"R",0,0,NA,NA,36500,250,46050,0,NA,NA,NA,NA,"VA","C001105",2,1959,"SO",0.276,0.389,1,0,0
"R",0,0,NA,NA,27500,0,61150,2000,NA,NA,NA,NA,"WV","J000297",2,1960,"SO",0.315,0.308,1,0,0
"R",0,NA,NA,NA,NA,NA,1000,0,0,0,NA,NA,"FL","R000607",1,1953,"SO",0.501,-0.494,NA,NA,1
"R",0,0,NA,NA,NA,NA,40325,0,NA,NA,NA,NA,"GA","H001078",1,1962,"SO",0.493,0.305,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KS",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,NA,NA,NA,NA,15500,0,14000,0,NA,NA,"MI","M001201",1,1961,"MW",0.422,0.311,1,0,0
"R",0,0,NA,NA,NA,NA,38230,5287,NA,NA,NA,NA,"MN","L000587",1,1955,"MW",0.506,-0.197,1,0,0
"R",0,0,NA,NA,NA,NA,77918,5900,36711,0,NA,NA,"MT","G000584",1,1961,"WE",0.431,0.085,1,0,0
"D",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NV",NA,NA,NA,"WE",NA,NA,0,1,0
"D",0,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,"NV","K000390",1,1980,"WE",-0.397,0.226,0,1,0
"R",0,1,NA,NA,NA,NA,44117,7287,NA,NA,NA,NA,"NY","F000464",1,1952,"NE",0.234,-0.008,0,1,0
"R",0,0,NA,NA,NA,NA,62359,5287,NA,NA,NA,NA,"VA","T000477",1,1979,"SO",0.456,0.021,1,0,0
