"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"53","Waxman","Henry A.","+",NA,NA,NA,NA,NA,"D","CA","CA-33",1,0
"54","Becerra","Xavier","+","+",NA,NA,NA,NA,"D","CA","CA-34",2,0
"55","Negrete McLeod","Gloria","+",NA,NA,NA,NA,NA,"D","CA","CA-35",1,0
"56","Ruiz","Raul","+","+","+","+","+","+","D","CA","CA-36",6,0
"57","Bass","Karen","+","+","+",NA,"+","+","D","CA","CA-37",5,0
"58","Sanchez","Linda","+","+","+","+","+","+","D","CA","CA-38",6,0
"59","Royce","Ed","-","-","-","-",NA,NA,"R","CA","CA-39",4,0
"60","Roybal-Allard","Lucille","+","+","+","+","+","+","D","CA","CA-40",6,0
"61","Takano","Mark","+","+","+","+","+","+","D","CA","CA-41",6,0
"62","Calvert","Ken S.","-","-","-","-","-","-","R","CA","CA-42",6,0
"63","Waters","Maxine","+","+","+","+","+","+","D","CA","CA-43",6,0
"64","Hahn","Janice","+","+",NA,NA,NA,NA,"D","CA","CA-44",2,0
"65","Campbell","John",NA,NA,NA,NA,NA,NA,"R","CA","CA-45",0,0
"66","Sanchez","Loretta L.","+","+",NA,NA,NA,NA,"D","CA","CA-46",2,0
"67","Lowenthal","Alan S.","+","+","+","+","+","+","D","CA","CA-47",6,0
"68","Rohrabacher","Dana T.","-","-","-","-",NA,NA,"R","CA","CA-48",4,0
"69","Issa","Darrell","-","-","-","-",NA,NA,"R","CA","CA-49,CA-49,CA-50",4,0
"70","Hunter","Duncan D.","-","-","-","-","-",NA,"R","CA","CA-50",5,0
"71","Vargas","Juan","+","+","+","+","+","+","D","CA","CA-51",6,0
"72","Peters","Scott H.","+","+","+",NA,"+","+","D","CA","CA-52",5,0
"73","Davis","Susan A.","+","+","+","+","+",NA,"D","CA","CA-53",5,0
"74","DeGette","Diana L.","+","+","+","+","+","+","D","CO","CO-01",6,0
"75","Polis","Jared","+","+","+","+",NA,NA,"D","CO","CO-02",4,0
"76","Tipton","Scott","-","-","-","-","-",NA,"R","CO","CO-03",5,0
"77","Gardner","Cory","-",NA,NA,NA,NA,NA,"R","CO","CO-04",1,0
"78","Lamborn","Doug","-","-","-","-","-","-","R","CO","CO-05",6,0
"79","Coffman","Mike","-","-","-","+",NA,NA,"R","CO","CO-06",4,1
"80","Perlmutter","Ed","+","+","+","+","+","+","D","CO","CO-07",6,0
"81","Larson","John B.","+","+","+","+","+","+","D","CT","CT-01",6,0
"82","Courtney","Joe","+","+","+","+","+","+","D","CT","CT-02",6,0
"83","DeLauro","Rosa L.","+","+",NA,"+","+","+","D","CT","CT-03",5,0
"84","Himes","Jim","+","+","+","+","+","+","D","CT","CT-04",6,0
"85","Esty","Elizabeth H.","+","+","+","+",NA,NA,"D","CT","CT-05",4,0
"86","Carney","John","+","+",NA,NA,NA,NA,"D","DE","DE-AL",2,0
"87","Miller","Jeff","-","-",NA,NA,NA,NA,"R","FL","FL-01",2,0
"88","Southerland","Steve","-",NA,NA,NA,NA,NA,"R","FL","FL-02",1,0
"89","Yoho","Ted S.","-","-","-","-","-",NA,"R","FL","FL-03",5,0
"90","Crenshaw","Ander","-","-",NA,NA,NA,NA,"R","FL","FL-04",2,0
"91","Brown","Corrine","+","+",NA,NA,NA,NA,"D","FL","FL-05",2,0
"92","DeSantis","Ron","-","-","-",NA,NA,NA,"R","FL","FL-06",3,0
"93","Mica","John L.","-","-",NA,NA,NA,NA,"R","FL","FL-07",2,0
"94","Posey","Bill","-","-",NA,"-","-","-","R","FL","FL-08",5,0
"95","Grayson","Alan","+","+",NA,NA,NA,NA,"D","FL","FL-09",2,0
"96","Webster","Daniel","-","-","-","-","-","-","R","FL","FL-10,FL-11,FL-11",6,0
"97","Nugent","Rich","-","-",NA,NA,NA,NA,"R","FL","FL-11",2,0
"98","Bilirakis","Gus","-","-","-","-","-","-","R","FL","FL-12",6,0
"99","Castor","Kathy","+","+",NA,"+","+","+","D","FL","FL-14",5,0
