"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"180","Hultgren","Randy","IL","R","Illinois",21250,1000,1000,10000,0,250
"181","Wenstrup","Brad","OH","R","Ohio",21100,2600,3600,0,0,0
"182","Graves","Sam","MO","R","Missouri",21000,1000,3000,2000,0,6000
"183","McAllister","Vance","LA","R","Louisiana",20400,0,0,0,0,500
"184","Bucshon","Larry","IN","R","Indiana",20300,51050,98500,0,0,500
"185","Alexander","Rodney","LA","R","Louisiana",20250,0,0,3000,0,0
"186","Gowdy","Trey","SC","R","South Carolina",20000,0,0,5500,0,0
"187","Stockman","Steve","TX","R","Texas",19600,0,0,3850,0,0
"188","O'Rourke","Beto","TX","D","Texas",19500,0,0,0,1000,0
"189","Wilson","Joe","SC","R","South Carolina",19000,0,0,2000,0,0
"190","Grisham","Michelle Lujan","NM","D","New Mexico",18700,0,0,0,4250,1750
"191","Brady","Robert A","PA","D","Pennsylvania",18525,0,0,5000,0,0
"192","Thompson","Mike","CA","D","California",18250,0,1000,2000,5000,1500
"193","Peters","Gary","MI","D","Michigan",17900,0,8000,1500,455425,34633
"194","Hurt","Robert","VA","R","Virginia",17750,10400,12050,6000,0,0
"195","Aderholt","Robert B","AL","R","Alabama",17500,13648,18397,0,0,0
"196","Pittenger","Robert","NC","R","North Carolina",17500,250,2750,9500,0,0
"197","Gingrey","Phil","GA","R","Georgia",17450,0,2000,2500,1000,0
"198","Collins","Doug","GA","R","Georgia",17250,0,500,2000,0,0
"199","Jackson","Lee Sheila","TX","D","Texas",17100,0,0,0,0,0
"200","Westmoreland","Lynn A","GA","R","Georgia",17050,0,500,5000,0,0
"201","Butterfield","G K","NC","D","North Carolina",17000,0,0,3000,1500,3500
"202","Woodall","Rob","GA","R","Georgia",16750,0,0,5250,0,0
"203","Peterson","Collin","MN","D","Minnesota",16500,4500,4500,0,0,21500
"204","McIntyre","Mike","NC","D","North Carolina",16000,0,2500,3000,0,0
"205","Foster","Bill","IL","D","Illinois",15850,0,0,3100,29050,8950
"206","Radel","Trey","FL","R","Florida",15700,0,0,0,0,3700
"207","Smith","Adrian","NE","R","Nebraska",15500,2000,4500,3000,0,4500
"208","Clark","Katherine","MA","D","Massachusetts",15400,0,300,12400,6375,1150
"209","Salmon","Matt","AZ","R","Arizona",15400,2000,16250,4500,0,13950
"210","Sanford","Mark","SC","R","South Carolina",15350,0,0,0,0,4500
"211","Huizenga","Bill","MI","R","Michigan",15150,0,0,0,0,0
"212","Sewell","Terri","AL","D","Alabama",15000,14500,14500,0,0,0
"213","Fudge","Marcia","OH","D","Ohio",14950,0,0,1250,1000,0
"214","LoBiondo","Frank","NJ","R","New Jersey",14750,0,0,1000,8390,700
"215","Chabot","Steve","OH","R","Ohio",14600,0,0,1000,0,0
"216","Hinojosa","Ruben","TX","D","Texas",14500,0,0,1000,0,0
"217","Rohrabacher","Dana","CA","R","California",14400,0,0,0,0,250
"218","Schneider","Brad","IL","D","Illinois",14300,0,0,0,35158,250
"219","Swalwell","Eric","CA","D","California",14300,0,0,1000,2000,8200
"220","Bera","Ami","CA","D","California",14150,0,0,0,84869,2750
"221","Thompson","Bennie G","MS","D","Mississippi",14000,0,0,6000,3000,0
"222","Nugent","Richard","FL","R","Florida",13950,0,0,0,0,0
"223","Womack","Steve","AR","R","Arkansas",13700,0,0,0,0,0
"224","Cardenas","Tony","CA","D","California",13500,0,0,10000,3000,250
"225","Matsui","Doris","CA","D","California",13500,0,0,4000,2000,1000
"226","Webster","Daniel","FL","R","Florida",13350,0,0,250,0,0
"227","Labrador","Raul","ID","R","Idaho",13100,0,5000,3000,1000,0
"228","Crawford","Rick","AR","R","Arkansas",12800,0,0,2000,0,1000
"229","Franks","Trent","AZ","R","Arizona",12700,0,5000,5100,0,0
"230","Duncan","John J Jr","TN","R","Tennessee",12500,2750,3750,0,0,0
"231","Gosar","Paul","AZ","R","Arizona",12500,2000,14000,1500,500,2000
"232","Maloney","Carolyn","NY","D","New York",12400,0,0,0,5850,1000
"233","Holding","George","NC","R","North Carolina",12350,0,0,2500,0,2600
"234","Pallone","Frank Jr","NJ","D","New Jersey",12250,0,0,8500,2500,1500
"235","Bachmann","Michele","MN","R","Minnesota",11900,0,2500,0,0,0
"236","Green","Al","TX","D","Texas",11600,0,2500,0,0,0
"237","King","Steven A","IA","R","Iowa",11500,0,0,3500,0,27450
