Surname, Name
Sutton, Betty Sue (Ohio Democrat, District 13)

T

Tanner, John (Tennessee Democrat, District 8)
Taylor, Gene (Mississippi Democrat, District 4)
Teague, Harry (New Mexico Democrat, District 2)
Terry, Lee (Nebraska Republican, District 2)
Tester, Jon (Montana Democrat, Senate)
Thompson, Bennie G (Mississippi Democrat, District 2)
Thompson, Glenn (Pennsylvania Republican, District 5)
Thompson, Mike (California Democrat, District 1)
Thornberry, Mac (Texas Republican, District 13)
Thune, John (South Dakota Republican, Senate)
Tiahrt, Todd (Kansas Republican, District 4)
Tiberi, Pat (Ohio Republican, District 12)
Tierney, John F (Massachusetts Democrat, District 6)
Titus, Dina (Nevada Democrat, District 3)
Tonko, Paul (New York Democrat, District 21)
Towns, Edolphus (New York Democrat, District 10)
Tsongas, Niki (Massachusetts Democrat, District 5)
Turner, Michael R (Ohio Republican, District 3)

U

Udall, Mark (Colorado Democrat, Senate)
Udall, Tom (New Mexico Democrat, Senate)
Upton, Fred (Michigan Republican, District 6)

V

Van Hollen, Chris (Maryland Democrat, District 8)
Velazquez, Nydia (New York Democrat, District 12)
Visclosky, Pete (Indiana Democrat, District 1)
Vitter, David (Louisiana Republican, Senate)
Voinovich, George V (Ohio Republican, Senate)

W

Walden, Greg (Oregon Republican, District 2)
Walz, Tim (Minnesota Democrat, District 1)
Wamp, Zach (Tennessee Republican, District 3)
Warner, Mark (Virginia Democrat, Senate)
Waters, Maxine (California Democrat, District 35)
Watson, Diane E (California Democrat, District 33)
Watt, Melvin L (North Carolina Democrat, District 12)
Waxman, Henry (California Democrat, District 30)
Webb, Jim (Virginia Democrat, Senate)
Weiner, Anthony D (New York Democrat, District 9)
Welch, Peter (Vermont Democrat, District 1)
Westmoreland, Lynn A (Georgia Republican, District 3)
Whitehouse, Sheldon (Rhode Island Democrat, Senate)
Whitfield, Ed (Kentucky Republican, District 1)
Wicker, Roger (Mississippi Republican, Senate)
Wilson, Charlie (Ohio Democrat, District 6)
Wilson, Joe (South Carolina Republican, District 2)
Wittman, Rob (Virginia Republican, District 1)
Wolf, Frank (Virginia Republican, District 10)
Woolsey, Lynn (California Democrat, District 6)
Wu, David (Oregon Democrat, District 1)
Wyden, Ron (Oregon Democrat, Senate)

Y

Yarmuth, John (Kentucky Democrat, District 3)
Young, C W Bill (Florida Republican, District 10)
Young, Don (Alaska Republican, District 1)
